Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
VXX,692245,500,33.20,837,33.19,33.20,684104,8141
UVXY,536713,344,33.72,310,33.70,33.71,529509,7204
ARKG,302944,200,83.18,1200,83.16,83.18,302459,485
IEFA,233249,8200,77.90,6800,77.89,77.91,229232,4017
ITB,161796,148,70.53,700,70.52,70.53,160853,943
IGV,161603,100,364.67,150,364.63,364.66,161503,100
VIXY,157707,244,27.16,912,27.15,27.16,157607,100
RSX,142280,6300,29.02,4800,29.01,29.02,140691,1589
SVXY,136432,1090,52.91,300,52.90,52.89,135728,704
GOVT,119013,157909,26.46,157546,26.45,26.46,117494,1519
EFV,107631,3400,54.71,1800,54.70,54.71,107008,623
JPST,107211,97822,50.74,53536,50.73,50.74,107211,0
EZU,98779,18500,51.43,1700,51.42,51.44,97204,1575
PAVE,93812,100,26.50,2200,26.49,26.50,93111,701
USMV,85408,6200,72.75,1800,72.74,72.74,85098,310
VNM,73961,599,19.68,302,19.66,19.67,64245,9716
INDA,58561,5900,45.33,3700,45.31,45.32,58423,138
MTUM,43290,200,171.29,400,171.27,171.28,43080,210
ARKQ,40077,300,81.77,1240,81.75,81.76,40077,0
MOAT,38830,700,74.42,215,74.41,74.41,38829,1
REM,38094,400,38.42,300,38.41,38.42,38094,0
USHY,34345,6600,41.35,3300,41.34,41.35,34345,0
IDV,30944,1390,34.03,49,34.02,34.03,30258,686
ESGV,29818,306,78.12,610,78.09,78.15,29818,0
QUAL,29272,100,130.03,1300,130.02,130.02,29172,100
NOBL,25234,100,92.52,400,92.51,92.50,25234,0
VLUE,24382,1000,108.04,500,108.02,108.03,24382,0
ARKX,22346,1700,20.71,480,20.70,20.70,22096,250
PICK,21870,130,47.80,99,47.75,47.78,21870,0
FLOT,20801,13175,50.80,17700,50.79,50.80,20801,0
HYD,20661,4200,63.26,1094,63.25,63.26,20561,100
VSGX,19306,300,65.62,100,65.59,65.63,19306,0
IGE,19300,1400,31.90,1800,31.89,31.89,19300,0
EFAV,18946,500,77.32,700,77.31,77.32,18946,0
CBOE,17231,254,113.06,25,112.99,113.03,16729,502
BBUS,17087,200,77.37,200,77.35,77.37,16118,969
PRNT,15690,818,38.95,100,38.81,38.82,15690,0
ICSH,15071,4110,50.51,9058,50.50,50.51,15071,0
COWZ,14991,1800,43.50,400,43.48,43.48,13894,1097
ECH,14910,100,29.08,1000,29.02,29.07,9310,5600
VUSB,14264,28948,50.12,11969,50.11,50.12,14264,0
CEMB,13698,3800,52.31,3838,52.28,52.30,13510,188
IFRA,12901,63,36.65,1,36.62,36.55,12901,0
EEMV,12495,200,65.01,100,64.95,64.97,12459,36
IEO,12362,900,58.82,800,58.79,58.88,12362,0
EFG,11728,600,109.43,300,109.40,109.45,11728,0
BBEU,9670,5000,60.67,2800,60.65,60.69,9170,500
IYT,9529,200,269.19,100,269.06,269.09,9499,30
RYLD,8403,600,25.38,44,25.34,25.36,7834,569
IYLD,8237,7000,24.16,7500,24.13,24.13,8237,0
BBIN,7751,9200,62.00,400,61.97,62.01,7751,0
DWLD,7591,1100,34.17,500,34.07,34.06,7591,0
FBCG,7484,7200,30.79,500,30.73,30.78,7484,0
IZRL,7430,202,31.59,319,31.52,31.55,7430,0
NEAR,7213,20232,50.18,1407,50.17,50.18,7213,0
HEFA,7003,7300,34.64,1300,34.63,34.63,6813,190
EDEN,7002,1300,108.50,1400,108.22,108.38,7002,0
BBJP,6788,1000,57.96,400,57.93,57.96,6188,600
CNYA,6619,2,44.41,671,44.37,44.37,6619,0
HYXU,6609,3900,57.95,547,57.81,57.67,6609,0
JEMA,6266,2000,51.01,1000,50.89,51.05,6266,0
VCEB,6203,3200,73.61,3200,73.55,73.61,6203,0
